Company Name,Triggers,Description,Primary Industry,Size,Type,Location,HQ_STATE,HQ_CITY,Country,Domain,LinkedIn URL,Enrich Company,Employee Count,Founded,Follower Count,Research company ICP with AI,Confidence,Evidence Quote,Role,Has ngAbs Program,Company Research Narrative,Conference Presence,Modality Types,Antibody Trials Overview,ngAb Press Mentions (News),NA Site Classification,Record ID,Site Verdict,Lab & Process Job Openings,LinkedIn URL (Confirmed Only),Update People Search (Find people Table) - 2026-06-03T17:04:45.167Z,Contacts,data status,Share,NA Site Verdict,NA Sites Detail,Review Disposition,Review Note,Reclassify Verdict,Reclassify Evidence
Piramal Pharma Solutions,done,"Piramal Pharma Solutions (PPS) is a Contract Development and Manufacturing Organization (CDMO) offering end-to-end development and manufacturing solutions across the drug life cycle. We serve our customers through a globally integrated network of facilities in North America, Europe, and Asia. This enables us to offer a comprehensive range of services including drug discovery solutions, process & pharmaceutical development services, clinical trial supplies, commercial supply of APIs, and finished dosage forms. We also offer specialized services such as the development and manufacture of highly potent APIs, antibody-drug conjugations, sterile fill/finish, peptide products & services, and potent solid oral drug product. Our track record as a trusted service provider with experience across varied technologies makes us a partner of choice for innovator and generic companies worldwide.",Pharmaceutical Manufacturing,"1,001-5,000 employees",Public Company,"Lexington, KY",KY,Lexington,United States,piramalpharmasolutions.com,https://www.linkedin.com/company/piramal-pharma-solutions,Piramal Pharma Solutions,0,0,0,Response,high,"From the ADCelerate program page: ""At Piramal Pharma Solutions, we developed the ADCelerate™ program to provide comprehensive services for Antibody-Drug Conjugates (ADCs) and Bioconjugates, spanning from fragments, mAbs, payload-linkers, and conjugations to clinical and commercial manufacturing and fill/finish.""",CDMO service provider,yes,"CDMO service provider developing ADCs, bispecific ADCs, radioimmunoconjugates, antibody fragments. Verdict: yes (confidence: high). Evidence: From the ADCelerate program page: ""At Piramal Pharma Solutions, we developed the ADCelerate™ program to provide comprehensive services for Antibody-Drug Conjugates (ADCs) and Bioconjugates, spanning from fragments, mAbs, payload-linkers, and conjugations to clinical and commercial manufacturing and fill/finish."".",Response,"ADCs, bispecific ADCs, radioimmunoconjugates, antibody fragments",Response,✅ 10 Results Found,Response,rec6w3nEt7vhfjt5i,confirmed,❌ No Job Found,https://www.linkedin.com/company/piramal-pharma-solutions,People Search Updated,"Yogesh Joshi,Bhushan Pawar,Anthony Hierholtzer,Santiago Moreno,Naveen V,Christopher Murray,Craig Hart,Stephen Nelis",ngAbs Classifier Ran,,,,,,,
FUJIFILM Biotechnologies,,"For over 30 years, FUJIFILM Biotechnologies' mission has been advancing tomorrow’s medicine. As a CDMO, we work in partnership with the most innovative biopharma and biotech companies across the world who are reimagining healthcare’s potential. We help to accelerate their progress, expand their capabilities, streamline their processes, and strengthen their innovation. So when our customers’ potential cures, vaccines, biologics, and accomplishments make strides – or even become new realities for patients – we know our work, our manufacturing expertise, and our partnership helped make it happen. 

We aren't simply a workplace. FUJIFILM Biotechnologies a community and place of passion – a place of what we call Genki. A place where diverse perspectives and people come to life. Where opportunity for growth has no end. Where passion is followed, discovered, and nurtured. Where the energy is undeniable, enthusiasm is pervasive, and drive is infectious. All of our global locations burst with curiosity, inspiration, and extraordinary purpose. 

So as we continue to grow our teams, our global locations, and our capabilities, Genki will always be our cultural tie. That’s why we’re always looking for passionate, mission-driven people who want to commit their life’s work to enabling better outcomes for patients and their families. 

For a full listing of jobs that will propel, inspire, and fulfill you, please visit: https://fujifilmbiotechnologies.fujifilm.com/careers/

We created this space on LinkedIn to give people a window into our work and culture. We’re highlighting employees’ passion, current openings, and why it’s never been a more exciting time to join!",Biotechnology Research,"1,001-5,000 employees",Public Company,"Morrisville, North Carolina",North Carolina,Morrisville,United States,fujifilm.com,https://www.linkedin.com/company/fujifilm-biotechnologies,FUJIFILM Healthcare Americas Corporation,1704,,81211,Response,high,"From the Cell Line Development page: ""Our scalable ApolloX system is designed for quality and speed of delivery of monoclonal antibodies (mAbs) and a diverse range of CHO-expressed molecules, including bispecific antibody formats, Fc-fusion proteins and non-Fc containing recombinant proteins.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, multispecific antibodies, ADCs, Fc-fusion proteins, antibody fragments. Verdict: yes (confidence: high). Evidence: From the Cell Line Development page: ""Our scalable ApolloX system is designed for quality and speed of delivery of monoclonal antibodies (mAbs) and a diverse range of CHO-expressed molecules, including bispecific antibody formats, Fc-fusion proteins and non-Fc containing recombinant proteins."".",Response,"bispecific antibodies, multispecific antibodies, ADCs, Fc-fusion proteins, antibody fragments",Response,✅ 10 Results Found,Response,reczSKkLvtJ0FApD7,confirmed,Returned 10 Jobs,https://www.linkedin.com/company/fujifilm-biotechnologies,People Search Updated,"James Pullen,Pooja B Mehta,Mahalia C.,Jason Goodwin,John Stewart,Clara Smith,Sean Salamander,Chris Lennon,Rajesh Kasiviswanathan,Chy-Anh Tran,JUNIOR GYAMERA,Jason Matthews,Gustav Green,Cecilie Cederberg,Fay Saunders,Esben Eggertsen,Simon Dewar,Sharyn Farnsworth,Travis Steiner,Jason Fairlee",,checked,,,keep,Ellie reviewed clean.,,
AGC Biologics,,"AGC Biologics is a leading global biopharmaceutical Contract Development and Manufacturing Organization (CDMO) with a strong commitment to delivering the highest standard of service as we work side-by-side with our clients and partnersto provide friendly and expert services. We provide world-class development and manufacturing of mammalian and microbial-based therapeutic proteins, plasmid DNA (pDNA), messenger RNA (mRNA), viral vectors, and genetically engineered cell therapies. Our global network spans the U.S., Europe, and Asia, with cGMP-compliant facilities in Seattle, Washington; Copenhagen, Denmark; Heidelberg, Germany; Milan, Italy; and Chiba and Yokohama, Japan. 

Visit www.agcbio.com to learn more.",Pharmaceutical Manufacturing,"1,001-5,000 employees",Public Company,"Bothell, WA",WA,Bothell,United States,agcbio.com,https://www.linkedin.com/company/agcbiologics,AGC Biologics,2520,,128434,Response,high,"From the Proveo (ADC) page: ""Proveo ™ provides complete and efficient solutions for antibody drug conjugates (ADCs)... Proveo ™ leverages AGC Biologics' specialized expertise in monoclonal antibody production...""; From the Novelty Nobility press release: ""Novelty Nobility Taps AGC Biologics to Further Develop Bispecific Drug Candidate... NN4101 is a first-in-class bispecific antibody intended for the treatment of neovascular retinal diseases. It uniquely connects a fully human anti-c-Kit monoclonal antibody with a vascular endothelial growth factor (VEGF) trap.""; From the Seattle press release: ""The approved products include two FC-fusion proteins and a monoclonal antibody (mAb).""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, ADCs, Fc-fusion proteins, antibody fragments. Verdict: yes (confidence: high). Evidence: From the Proveo (ADC) page: ""Proveo ™ provides complete and efficient solutions for antibody drug conjugates (ADCs)... Proveo ™ leverages AGC Biologics' specialized expertise in monoclonal antibody production...""; From the Novelty Nobility press release: ""Novelty Nobility Taps AGC Biologics to Further Develop Bispecific Drug Candidate... NN4101 is a first-in-class bispecific antibody intended for the treatment of neovascular retinal diseases. It uniquely connects a fully human anti-c-Kit monoclonal antibody with a vascular endothelial growth factor (VEGF) trap.""; From the Seattle press release: ""The approved products include two FC-fusion proteins and a monoclonal antibody (mAb)."".",Response,"bispecific antibodies, ADCs, Fc-fusion proteins, antibody fragments",Response,✅ 10 Results Found,Response,recffhNDX6DOOdZg7,confirmed,❌ No Job Found,https://www.linkedin.com/company/agcbiologics,People Search Updated,"Helle Wendelboe,Tommy Alfast,Lin Hong,Watson Neto,Lígia Carinha Gomes,Astrid Munch,Francesca Bellintani,Lena Nielsen,Dominik Behrendt,Alessandra Gatti,Jamie Harvey,Mario Kraft",,,,,,,,
Curia,,"Curia is a Contract Development and Manufacturing Organization with over 30 years of experience, an integrated network of 25 global sites and 3,500 employees partnering with customers to make treatments broadly accessible to patients. Our biologics and small molecule offering spans discovery through commercialization, with integrated regulatory and analytical capabilities. Our scientific and process experts and state-of-the-art facilities deliver best-in-class experience across drug substance and drug product manufacturing. From curiosity to cure, we deliver every step to accelerate and sustain life-changing therapeutics.

To learn more visit us at curiaglobal.com

**************************************************
NOTICE: Please Be Aware of False Employment Opportunities
**************************************************
Please be aware there has been reported fraudulent activity within our industry regarding false offers being made to applicants and requests for personal information from individuals or organizations posing as company representatives.

Any applicant who applies to Curia must submit their application through Curia’s career page at https://careers.curiaglobal.com.

Applicants will only receive communication, including offer letters, from a curiaglobal.com email address. Please be aware that recent scams used email addresses that are similar to Curia addresses or use other public domain addresses such as gmail.com, yahoo.com and aol.com. Please confirm the sender’s email address prior to sharing your information.",Pharmaceutical Manufacturing,"1,001-5,000 employees",Privately Held,"Albany, NY",NY,Albany,United States,curiaglobal.com,https://www.linkedin.com/company/curia-cdmo,Curia,3398,,109415,Response,high,"From the Beacon page: ""Save time and resources by using our fully integrated antibody engineering service to reformat lead antibodies to your desired specifications (e.g. scFv or bi-specific).""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, antibody fragments, ADCs. Verdict: yes (confidence: high). Evidence: From the Beacon page: ""Save time and resources by using our fully integrated antibody engineering service to reformat lead antibodies to your desired specifications (e.g. scFv or bi-specific)."".",Response,"bispecific antibodies, antibody fragments, ADCs",Response,✅ 10 Results Found,Response,recP3NqUqx44N4qA6,confirmed,❌ No Job Found,https://www.linkedin.com/company/curia-cdmo,People Search Updated,"""Tummanapalli Satyanarayana  (Ph.D., MBA)"",Tyler Jones,Paul Mendonca,""Brian Haney, Ph.D."",VijayaSaradhi Sivalenka,Minna Rannikko,Eva Gajate,Trung Nguyen,James McManus,David Hill,Sylvia Samaniego,Neil Brown",,,,,,,,
Seagen,,"Seagen is now part of Pfizer! Together with our Pfizer colleagues, we will continue our mission of bringing life-saving treatments to people living with cancer.
 
Our scientific leadership and world-leading antibody-drug conjugate (ADC) technology combined with the scale and strength of Pfizer's capabilities and expertise, will help position Pfizer at the forefront of innovation in cancer care. 
 
We are so proud of our employees for the work that has been done over the past 25 years to positively impact the cancer community. 
 
Check out the announcement https://lnkd.in/dfq7V-tw to join us in our excitement for the future. 
 
Seagen social media accounts, including this page, will no longer be active or monitored. Please follow Pfizer https://www.linkedin.com/company/pfizer/ for new content!",Biotechnology Research,"1,001-5,000 employees",Public Company,"Bothell, Washington",Washington,Bothell,United States,pfizer.com,https://www.linkedin.com/company/seagen,Pfizer,102727,,7003980,Response,high,"From Pfizer Completes Acquisition of Seagen (Press Release): ""Seagen is a world-leader in ADC technology, a transformative modality that is emerging as a powerful tool across a broad range of cancers... With the addition of Seagen, Pfizer’s Oncology pipeline has doubled in size with 60 programs spanning multiple modalities, including ADCs, small molecules, bispecifics and other immunotherapies.""; From Manufacturing Sites page: ""The North Creek site, integrated into Pfizer’s network following the Seagen acquisition, produces antibody drug conjugates (ADCs) and antibody intermediates.""",developer,yes,"developer developing ADCs, bispecific antibodies. Verdict: yes (confidence: high). Evidence: From Pfizer Completes Acquisition of Seagen (Press Release): ""Seagen is a world-leader in ADC technology, a transformative modality that is emerging as a powerful tool across a broad range of cancers... With the addition of Seagen, Pfizer’s Oncology pipeline has doubled in size with 60 programs spanning multiple modalities, including ADCs, small molecules, bispecifics and other immunotherapies.""; From Manufacturing Sites page: ""The North Creek site, integrated into Pfizer’s network following the Seagen acquisition, produces antibody drug conjugates (ADCs) and antibody intermediates."".",Response,"ADCs, bispecific antibodies",Response,✅ 10 Results Found,Response,rec0UebdV23yW2AZV,confirmed,❌ No Job Found,https://www.linkedin.com/company/seagen,People Search Updated,"Amit J. Desai,Pranhitha Reddy,Mike Bowley,Anish Sudra,Julie G.,Catherine Eakin,Bob Dedinsky,Damon Meyer",,,,,,,,
Hovione,,"At Hovione, we help partners turn scientific innovation into medicines that reach patients around the world. For more than 65 years, we have connected science, technology and manufacturing to scale complex ideas into high-quality and innovative solutions that truly make a difference.

As an international CDMO, we support the development and manufacture of drug substances, intermediates and drug products across the full life cycle. We are globally recognized for our leadership in specialized technologies such as Spray Drying and Continuous Tableting. But what truly sets us apart is not just what we do — it is how we do it: with purpose, care, collaboration and a deep commitment to doing the right things right. 

Our people are the reason for our success. We are a global and diverse team of more than 2,600 team members across Europe, the USA and Asia, bringing together different experiences and perspectives to help our partners to overcome complex challenges. We believe that an inclusive environment — where everyone, regardless of background, identity or ability, is respected, heard and empowered to contribute — is essential to drive innovation, ensure quality, and secure long‐term sustainable success.

And as we grow, so do the opportunities for our people to develop, broaden their perspectives and build meaningful careers. Because at Hovione, better starts with those who choose to make a difference every day. Will you be one of them?",Pharmaceutical Manufacturing,"1,001-5,000 employees",Privately Held,"East Windsor, NJ",NJ,East Windsor,United States,hovione.com,https://www.linkedin.com/company/hovione,Hovione,2517,1959,89304,Response,high,"From the Press Room article: ""We have successfully applied these tools to biologic molecules, namley proteins, antibodies, and fragments of antibodies, and some of these solutions have evolved to commercial manufacturing.""",CDMO service provider,yes,"CDMO service provider developing antibody fragments. Verdict: yes (confidence: high). Evidence: From the Press Room article: ""We have successfully applied these tools to biologic molecules, namley proteins, antibodies, and fragments of antibodies, and some of these solutions have evolved to commercial manufacturing."".",Response,antibody fragments,Response,✅ 10 Results Found,Response,recQCaPb9Fjr9cHfW,confirmed,❌ No Job Found,https://www.linkedin.com/company/hovione,People Search Updated,"Jorge Pastilha,José Melo,Mafalda Paiva,Jorge Mendes,David Basile,""David Favor, Ph.D., PMP"",Cláudio Rebelo",,,,,,,,
PCI Pharma Services,,"We are PCI Pharma Services. CDMO.

Today’s Drug Development & Manufacturing, Advanced Drug Delivery & Drug Device Combination Products, Clinical Trial Services, and Commercial Packaging Technology. Inspired by tomorrow.

We provide world-class solutions through intelligence, ingenuity and innovation, together, delivering life-changing therapies. Across 38 global sites and supported by more than 8,000 dedicated employees, we bring together leading technology and continued investment to deliver seamless solutions from development to commercialization, supporting our clients to improve the lives of patients worldwide.",Pharmaceutical Manufacturing,"5,001-10,000 employees",Privately Held,"Philadelphia, PA",PA,Philadelphia,United States,pci.com,https://www.linkedin.com/company/pciservices,PCI Pharma Services,4784,,88352,Response,high,"From the Acquisition page: ""the acquisition provides PCI with its first-ever North American manufacturing location for prefilled syringes and cartridges – including isolator technology for these formats – as well as high potent manufacturing suitable for antibody-drug conjugates (ADCs).""; From the Completes Acquisition page: ""The acquisition also adds high potent vial filling with lyophilization, expanding our sterile fill-finish capacity and serving as an expedient entrée into the rapidly emerging oncology modality of high potent antibody-drug conjugates (ADCs).""",CDMO service provider,yes,"CDMO service provider developing ADCs. Verdict: yes (confidence: high). Evidence: From the Acquisition page: ""the acquisition provides PCI with its first-ever North American manufacturing location for prefilled syringes and cartridges – including isolator technology for these formats – as well as high potent manufacturing suitable for antibody-drug conjugates (ADCs).""; From the Completes Acquisition page: ""The acquisition also adds high potent vial filling with lyophilization, expanding our sterile fill-finish capacity and serving as an expedient entrée into the rapidly emerging oncology modality of high potent antibody-drug conjugates (ADCs)."".",Response,ADCs,Response,✅ 10 Results Found,Response,recM67T6p5jwzFYau,confirmed,Returned 3 Jobs,https://www.linkedin.com/company/pciservices,People Search Updated,"Brian Blagg,Aimee Hodge,Sean O'Hara,Aoife Kelly,Paul Ruther,Ricardo Hernández González-Tablas,Steve Taliadouros,Amanda Blackwell,Wayne Schermerhorn",,checked,,,tier-down,"Edge: primarily fill-finish/packaging CDMO; Simtra-type narrow/late-stage fit, only if it touches ADC drug product.",,
Exelixis,,"Every Exelixis employee is united in an ambitious cause: to transform science into new treatments that give cancer patients and their families hope for the future. In this pursuit, we know our employees are our most valuable asset. As a diverse, growing team, everyone at Exelixis plays a role in advancing our mission through our innovative drug discovery, development and commercialization efforts. We take pride in our shared purpose, knowing the magnitude of our impact expands with every medicine we create and every form of cancer tumor type we treat.

After operating in the challenging biotech sector for nearly three decades, we've evolved into a multi-platform cancer company with a proven track record of resiliency in the face of adversity. The success of our flagship commercial product set us up on our journey to discover and develop next-generation cancer treatments, driven by our relentless pursuit of results for the patients we serve. 

Cancer is our cause. Make it yours, too. 

Please see our Community Guidelines: bit.ly/4iBzJU0

For more information about Exelixis, please visit www.exelixis.com, follow @ExelixisInc on Twitter or like Exelixis, Inc. on Facebook.",Biotechnology Research,"1,001-5,000 employees",Public Company,"Alameda, California",California,Alameda,United States,exelixis.com,https://www.linkedin.com/company/exelixis,Exelixis,1549,1994,67412,Response,high,"From the Discovery Engine page: ""Much of our drug discovery activities focuses on discovering and advancing various biotherapeutics that have the potential to become anti-cancer therapies, such as bispecific antibodies, ADCs and other innovative treatments. Several biotherapeutic product candidates have progressed into clinical trials. ADU-1805* | XB010 | XB628 | XB371 | XB773""",developer,yes,"developer developing bispecific antibodies, ADCs. Verdict: yes (confidence: high). Evidence: From the Discovery Engine page: ""Much of our drug discovery activities focuses on discovering and advancing various biotherapeutics that have the potential to become anti-cancer therapies, such as bispecific antibodies, ADCs and other innovative treatments. Several biotherapeutic product candidates have progressed into clinical trials. ADU-1805* | XB010 | XB628 | XB371 | XB773"".",Response,"bispecific antibodies, ADCs",Response,✅ 10 Results Found,Response,rec6OK4ZPRotPBcbL,confirmed,Returned 1 Jobs,https://www.linkedin.com/company/exelixis,People Search Updated,"Manda Pasarkar,Engin Ayturk,Weijun L.,Debola Banerjee,Bhas Dani,Purbasa Patnaik,Raj Haldankar,Sheila Chou,Tracy Zheng,Cristen Peterson,Becca Diederich,Qiuting Hong,Grace Li,Dharti Kothari,Wendy Yang,Linh Phan,Angie Titus",,checked,,,keep,Ellie reviewed clean.,,
REGENXBIO,,"REGENXBIO is a leading clinical-stage biotechnology company seeking to improve lives through the curative potential of gene therapy. Since its founding in 2009, REGENXBIO has pioneered the development of AAV Therapeutics, an innovative class of gene therapy medicines. REGENXBIO is advancing a pipeline of AAV Therapeutics for retinal and rare diseases, including ABBV-RGX-314 for the treatment of wet AMD and diabetic retinopathy, being developed in collaboration with AbbVie, RGX-202 for the treatment of Duchenne and RGX-121 for the treatment of MPS II. Thousands of patients have been treated with REGENXBIO’s AAV Therapeutic platform, including Novartis’ ZOLGENSMA for children with spinal muscular atrophy. Designed to be one-time treatments, AAV Therapeutics have the potential to change the way healthcare is delivered for millions of people.",Biotechnology Research,201-500 employees,Public Company,"Rockville, Maryland",Maryland,Rockville,United States,regenxbio.com,https://www.linkedin.com/company/regenx,REGENXBIO,390,2008,49998,Response,high,"From the PR / News page: ""REGENXBIO is at the forefront of research and development of AAV-mediated antibody gene therapies.""; From the Therapeutic Programs page: ""ABBV-RGX-314 is being developed as a novel, one-time treatment for wet AMD that includes the NAV® AAV8 vector containing a gene encoding for a monoclonal anti-VEGF antibody fragment.""",developer,yes,"developer developing antibody fragments. Verdict: yes (confidence: high). Evidence: From the PR / News page: ""REGENXBIO is at the forefront of research and development of AAV-mediated antibody gene therapies.""; From the Therapeutic Programs page: ""ABBV-RGX-314 is being developed as a novel, one-time treatment for wet AMD that includes the NAV® AAV8 vector containing a gene encoding for a monoclonal anti-VEGF antibody fragment."".",Response,antibody fragments,Response,✅ 10 Results Found,Response,recvmVQV4rppKQCWn,confirmed,❌ No Job Found,https://www.linkedin.com/company/regenx,People Search Updated,"Jared Bee,Alicia Hoffman,Don Startt,Justin Horvath,Win Cheung,Brice Irwin,Metewo  Selase Enuameh,Tristan Marshall,Michael Gillmeister,Erin Haleem,James Folmer,Brian Peterson",,,,,,,,
KBI Biopharma,,"KBI Biopharma is an award-winning biopharmaceutical contract services organization providing fully-integrated, accelerated drug development and biomanufacturing services to pharmaceutical and biotechnology companies globally.

With each of our 500+ client partners, we have worked closely to personalize and rapidly accelerate their drug development programs. Built upon a foundation of world-class analytical capabilities, we deliver efficient process development and clinical and commercial cGMP manufacturing services for mammalian and microbial programs.

KBI is proud to be a JSR Life Sciences Company.",Biotechnology Research,"1,001-5,000 employees",Privately Held,"Durham, North Carolina",North Carolina,Durham,United States,kbibiopharma.com,https://www.linkedin.com/company/kbi-biopharma,KBI Biopharma,1692,1996,48758,Response,high,"From the Bispecifics Platform page: ""Our SUREtechnology Platform has successfully produced 36 bispecific antibody programs, 25 of which are currently in Human Clinical Trial stages.""",CDMO service provider,yes,"CDMO service provider developing bispecific antibodies, Fc-fusion proteins. Verdict: yes (confidence: high). Evidence: From the Bispecifics Platform page: ""Our SUREtechnology Platform has successfully produced 36 bispecific antibody programs, 25 of which are currently in Human Clinical Trial stages."".",Response,"bispecific antibodies, Fc-fusion proteins",Response,✅ 10 Results Found,Response,recfNcYwUqFwP6zrg,confirmed,Returned 9 Jobs,https://www.linkedin.com/company/kbi-biopharma,People Search Updated,"Sachin Dubey,Leslie Wolfe,Amanda Hoertz,Shaunak Uplekar,Greg Chrimes,Derek Ryan,Aaron Anders,Erik Nordwald,Adrian Blackburn",,checked,,,keep,Sub of SK pharmteco but different site (Durham) and different work. Not a duplicate. Keep.,,
